doc_id,context,question,ratings,hypo_answers
sportclimbing,"Sport climbing is a modern sport that has become immensely popular over the past 20 years. It is a young, mixed-gender sport – with 39 per cent of climbers under 18 years old – practised both outdoors and in a more urban format indoors. There are over 25 million climbers in 150 countries all over the world.

In 1985, a group of climbers gathered in Bardonecchia, near Turin, Italy, for an event called “SportRoccia”, which became the first organised lead competition in which competitors climb within a certain time limit. One year later, the first competition event on an artificial climbing wall was organised in Vaulx-en-Velin near Lyon, France.",Where was the first competition event on an artificial climbing wall organized in 1986?,5,Germany
sportclimbing,"Brief Overview of the Rules

At the Olympics, sport climbing involves three formats : bouldering, speed and lead. In bouldering, athletes climb 4.5 m high walls without ropes, in a limited period of time and in the fewest attempts possible. Speed is a spectacular race against the clock in one-on-one elimination rounds that combine precision and explosivity. The best athletes scale a 15m high and five degrees inclinated wall in under six seconds for men and under seven seconds for women.

In the lead event, athletes climb as high as they can on a wall over 15m high in six minutes without having seen the route ahead of time. The routes for this event are more and more complex and challenging during the event, requiring all of the athletes’ physical and mental ability.

In Tokyo, each athlete competed in all three disciplines and the final scores reflected the combined results of the three competitions. The climber with the lowest score took home the first Olympic gold medal in the history of sport climbing.

In Paris 2024, two competitions will crown their own olympic champion in sport climbing. One will be a combined competition of bouldering and lead events, and the second one will only feature a speed event.",How will the Olympic sport climbing competition differ in Paris 2024 compared to Tokyo?,5,"The Olympic sport climbing competition in Paris 2024 will include a new format called ""Olympic Combined,"" which combines three disciplines - speed climbing, bouldering, and lead climbing - into one event. This is different from Tokyo 2020, where the sport climbing competition consisted of separate events for each discipline."
sportclimbing,"Olympic History

Sport climbing took its first steps on the Olympic stage at the Buenos Aires Youth Olympic Games, in 2018. The event had not been highly publicised but the public was impressed by the spectacle and the suspense of this exciting sport. A hit at the youth events, sport climbing then made its debut at the Tokyo 2020 Games, joining the Olympic programme as a new sport.

The originality of these events as well as the discipline’s visual, aesthetic and exciting nature make it a very popular and widely-practised sport for young people that can take place in very diverse environments, urban or natural. Sport climbing will also be one of the four additional sports of Paris 2024 alongside breaking (making its Olympic debut), surfing and skateboarding, and it also will be part of the programme for the Los Angeles 2028 Olympic Games.",When did sport climbing make its debut on the Olympic stage at the Buenos Aires Youth Olympic Games?,5,Sport climbing made its debut on the Olympic stage at the Buenos Aires Youth Olympic Games in 2018.
flagfootball,"Flag football is a variant of American football (or gridiron) where the aim is to advance up the pitch via a series of offensive plays into the opposition’s defensive endzone.

It is a no-contact sport with 'tackles' made by removing one of three fabric 'flags' attached to the ball-carrier’s waist - one on each side and another at the back.",How is a tackle made in flag football?,3,A tackle in flag football is made by pulling the flag off of the ball carrier's belt.
flagfootball,"By whom, where and when was Flag Football invented?

Flag football started out as a means of recreation for American soldiers during World War II who then brought the game back home with them. Fort Meade in Maryland is said to have hosted the first games of flag football.

It was originally called ‘Touch and Tail football’ before the name ‘flag football’ was adopted after the war.

The National Touch Football League was founded in the 1960s in St. Louis, Missouri.",Where was the first games of flag football reportedly hosted during World War II?,5,"The first games of flag football were reportedly hosted at the United States Naval Academy in Annapolis, Maryland during World War II."
flagfootball,"What are the rules of Flag Football?

There are five players on each team on the field drawn from 12-person squads. Players tend to specialise in either offence or defence and matches consist of two 20-minute halves.

A flag football pitch measures 70 x 30 yards (64m x 27.4m) with 10 yards (9.1m) allotted to each of the two endzones.

Play starts at the team's own five-yard line with the centre snapping the ball back to the quarterback who either passes the ball forward to try and find a receiver, or hands off to a running back.

The play is over when either a flag is removed, the ball-carrier goes out of bounds, or a forward pass hits the ground.

The team on offence has four attempts - known as downs - to go from their own five-yard line to halfway. If successful, they have another four downs to reach the endzone and score a touchdown. If unsuccessful on either count, the ball is turned over to the opposition who start on their own five-yard line.

After a touchdown, worth six points, teams go for an extra point - by running or passing - from the five-yard line, or two extra points from the 10-yard line.

If the scores are tied after 40 minutes, sudden-death overtime begins with the first team to score taking victory.",How many players are on each team in a game of Flag Football?,5,Flag football is typically played with 5 players on each team.
flagfootball,"Flag Football and the Olympics

Flag football will make its Olympic debut at Los Angeles 2028.",When will flag football make its Olympic debut?,5,Flag football is set to make its Olympic debut at the 2028 Los Angeles Summer Olympics.
flagfootball,"Best Flag Football players to watch

The United States is the pre-eminent nation in flag football. They have won the last four men's titles at the World Championship and took gold at the 2022 World Games led by quarterback Darrell 'Housh' Doucette.

Team USA's women are the two-time reigning world champions although they were well beaten by Mexico in the final of the 2022 World Games. Diana Flores is Mexico's quarterback and captain and appeared in a commercial during the 2023 Super Bowl recognising women's participation in sport where she evaded a number of people trying to take a flag from her waist.

Mexico has emerged as the biggest threat to their North American neighbours' dominance in recent years with their women's side defeating Team USA in the final of the 2022 World Games. The men's final saw USA get the better of Italy. Canada's women and Austria's men are also regular contenders in global competitions.",Who is the quarterback and captain of the Mexican women's flag football team?,5,My best guess is María Fernanda Maya.
archery,"Archery is one of the oldest sports still practised today, and is closely linked to the development of human civilisation. Historically, archery has been used for hunting and warfare; the earliest evidence of its use comes from South African sites such as Sibudu Cave, where arrowheads dating from approximately 64,000 years ago have been found. The first recorded archery tournaments took place in the People's Republic of China during the Zhou dynasty (1027‑256 BC). In 1931, the sport evolved around the globe and the international archery federation—now known as World Archery—was founded.",What is the earliest recorded evidence of the use of archery?,5,"The earliest recorded evidence of the use of archery dates back to around 20,000 BC, found in the form of arrowheads in Africa."
archery,"Brief Overview of the Rules

Targets are 122cm in diameter and positioned 70m away from the archers, who must shoot their arrows as close to the centre of the target as possible in order to beat their opponents. Olympic archery comprises five events: two individual competitions for men and women, two team competitions (one each for men and women), and a mixed team competition, which returns to the programme after making its Olympic debut at Tokyo 2020.

Archery requires great concentration and dexterity; archers must overcome their nerves as a single mistake can prove costly in competition. Individual competitions at the Games begin with the ranking round, where each of the 64 archers shoot 72 arrows to determine their ranking for the single-elimination bracket. The athletes compete in this knockout system until the final according to their ranking, with the top‑ranked archer facing off against the 64th‑ranked archer, the second‑ranked against the 63rd‑ranked, and so on.

The team event uses the same ranking results from the individual competition to determine seeding for the teams; the top four teams receive a bye into the quarterfinals, while the rest of the field competes in a single-elimination bracket. The mixed team event also uses the results of the ranking round to qualify and seed teams.",How does the ranking round work in individual archery competitions at the Olympics?,5,"In individual archery competitions at the Olympics, the ranking round is the first stage where each archer shoots a total of 72 arrows. The scores from these arrows determine the rankings of the archers, with the highest score earning the top ranking and so on. These rankings then determine the brackets for the elimination rounds that follow."
